N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
161,한화에어로스페이스,"28,500",300,+1.06%,"5,000","14,430","50,630",18.23,"261,308",19.99,5.45,
162,KODEX 종합채권(AA-이상)액티브,"109,875",150,-0.14%,0,"14,414","13,119",0.00,"1,357",N/A,N/A,
163,롯데정밀화학,"54,800","1,400",+2.62%,"5,000","14,138","25,800",22.87,"147,304",8.26,11.73,
164,영원무역,"31,850",400,+1.27%,500,"14,113","44,311",23.55,"100,511",8.62,9.82,
165,한국테크놀로지그룹,"14,500",200,+1.40%,500,"13,488","93,020",6.69,"239,670",12.10,4.71,
166,한전KPS,"29,700",100,+0.34%,200,"13,365","45,000",11.17,"228,314",11.02,14.98,
167,메리츠금융지주,"9,820",130,-1.31%,500,"13,160","134,011",8.25,"277,933",2.83,15.26,
168,KODEX 코스닥150 레버리지,"17,370",245,+1.43%,0,"13,080","75,300",1.71,"29,150,535",N/A,N/A,
169,F&F,"83,700",100,-0.12%,500,"12,890","15,400",9.26,"36,495",14.80,25.13,
170,SK디스커버리,"65,700",800,-1.20%,"5,000","12,508","19,038",9.61,"71,164",4.31,11.52,
171,일양약품,"65,500",400,+0.61%,"2,500","12,501","19,086",8.26,"455,943",121.07,5.20,
172,SK네트웍스,"4,840",70,+1.47%,"2,500","12,012","248,188",12.16,"823,236",-20.95,-5.85,
173,이노션,"59,900",400,+0.67%,500,"11,980","20,000",29.12,"37,662",18.65,9.88,
174,KBSTAR 200,"39,515",805,+2.08%,0,"11,835","29,950",4.25,"343,873",N/A,N/A,
175,대한전선,"1,360",0,0.00%,500,"11,648","856,473",2.13,"3,532,345",-75.56,-3.99,
176,한국콜마,"50,900",800,+1.60%,500,"11,647","22,881",26.79,"465,918",36.62,6.39,
177,KG동부제철,"11,600",300,+2.65%,"5,000","11,601","100,009",0.13,"267,582",14.08,-7.44,
178,DGB금융지주,"6,800",60,-0.87%,"5,000","11,502","169,146",46.56,"1,089,401",3.47,7.31,
179,신세계인터내셔날,"161,000","2,000",+1.26%,"5,000","11,495","7,140",4.67,"42,852",25.49,12.98,
180,코오롱인더,"41,200","1,000",+2.49%,"5,000","11,115","26,979",15.42,"201,788",7.38,1.58,
181,더블유게임즈,"60,200",400,+0.67%,500,"11,061","18,375",14.77,"63,954",10.32,18.93,
182,후성,"11,900",150,+1.28%,500,"11,020","92,607",4.43,"2,738,424",-216.36,3.85,
183,JB금융지주,"5,580",50,-0.89%,"5,000","10,992","196,983",38.82,"368,433",3.18,10.36,
184,금호타이어,"3,795",25,+0.66%,"5,000","10,902","287,260",4.34,"314,913",-10.87,-3.30,
185,LG전자우,"62,400","1,600",+2.63%,"5,000","10,724","17,186",44.03,"708,729",13.55,N/A,
186,유나이티드제약,"65,700",500,+0.77%,500,"10,673","16,245",4.56,"2,087,574",35.48,12.79,
187,티와이홀딩스,"28,100","1,800",+6.84%,500,"10,538","37,501",7.48,"723,438",N/A,N/A,
188,휴켐스,"25,750",950,+3.83%,"1,000","10,526","40,879",8.58,"345,461",21.84,10.82,
189,파미셀,"17,400",50,-0.29%,500,"10,433","59,959",8.00,"1,084,915",151.30,8.78,
190,롯데관광개발,"15,050",250,+1.69%,500,"10,426","69,276",5.22,"188,515",-22.10,-4.77,
191,GKL,"16,550",200,+1.22%,500,"10,237","61,856",5.95,"255,630",-76.98,12.62,
192,코스맥스,"99,700","1,000",+1.01%,500,"10,019","10,050",24.61,"66,136",24.68,10.45,
193,영풍,"537,000","2,000",+0.37%,"5,000","9,892","1,842",4.65,"1,006",5.34,7.40,
194,다우기술,"21,950",50,+0.23%,500,"9,848","44,867",22.42,"106,270",3.53,14.62,
195,롯데칠성,"109,000",500,-0.46%,500,"9,783","8,975",10.96,"24,777",-11.18,-11.68,
196,현대홈쇼핑,"81,100",300,-0.37%,"5,000","9,732","12,000",27.16,"20,182",10.82,5.03,
197,세방전지,"69,000","1,500",+2.22%,500,"9,660","14,000",27.53,"114,216",13.07,7.70,
198,SK가스,"104,500",0,0.00%,"5,000","9,646","9,230",8.98,"11,291",2.45,9.85,
199,KODEX 인버스,"4,270",95,-2.18%,0,"9,582","224,400",1.71,"43,313,525",N/A,N/A,
200,진원생명과학,"21,350",50,-0.23%,"1,000","9,559","44,771",11.84,"1,374,093",-61.88,-28.50,
